firm,ticker,date,t_sub,direction,size,fill_price,pnl_1ms,pnl_10ms,pnl_50ms,pnl_100ms,pnl_250ms,pnl_500ms,pnl_1s,pnl_2s,pnl_5s,pnl_10s,pnl_30s,pnl_1min,pnl_5min,pnl_30min
UBSS,KTOS,2026-02-24,34200.778575793,ask,2,87.42,0.0,0.0,0.0,0.0,0.0,0.66,-0.08,1.48,2.24,3.3,6.22,5.92,1.42,0.52
UBSS,KTOS,2026-02-24,34215.47241296,bid,50,85.0,35.5,35.5,35.5,35.5,35.5,35.5,35.5,53.5,50.0,15.0,-25.5,-16.0,128.0,78.0
UBSS,KTOS,2026-02-24,34215.47241296,bid,1,85.0,0.71,0.71,0.71,0.71,0.71,0.71,0.71,1.07,1.0,0.3,-0.51,-0.32,2.56,1.56
UBSS,KTOS,2026-02-24,34215.47241296,bid,1,84.85000000000001,0.86,0.86,0.86,0.86,0.86,0.86,0.86,1.22,1.15,0.45,-0.36,-0.17,2.71,1.71
UBSS,KTOS,2026-02-24,34215.47241296,bid,14,84.74000000000001,13.58,13.58,13.58,13.58,13.58,13.58,13.58,18.62,17.64,7.84,-3.5,-0.84,39.48,25.48
UBSS,KTOS,2026-02-24,57463.440982245,bid,11,90.73,0.275,0.275,0.275,0.275,0.275,0.275,0.22,0.22,0.22,0.22,0.165,0.11,2.64,4.62
UBSS,KTOS,2026-02-25,34201.368069337,ask,2,92.80000000000001,-0.38,-0.38,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,-0.4,-0.4,3.08,0.8
UBSS,KTOS,2026-02-25,56972.027343294,bid,60,88.5,22.8,22.8,22.8,22.8,22.8,22.8,22.8,21.0,19.8,19.2,19.2,24.0,19.2,-8.4
UBSS,KTOS,2026-02-25,57246.791837933,bid,10,88.68,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0,1.4,-0.8,-2.7,-3.1
UBSS,KTOS,2026-02-26,34201.164409104,bid,25,87.5,7.75,7.75,7.75,7.75,5.25,7.75,5.25,5.25,3.0,4.875,-12.25,-15.0,18.5,32.25
UBSS,KTOS,2026-02-26,34201.164409104,bid,100,87.3,51.0,51.0,51.0,51.0,41.0,51.0,41.0,41.0,32.0,39.5,-29.0,-40.0,94.0,149.0
UBSS,KTOS,2026-02-26,34204.184999282,bid,1,87.0,0.68,0.68,0.67,0.67,0.67,0.67,0.67,0.62,0.59,0.695,0.01,0.06,1.71,1.79
UBSS,KTOS,2026-02-26,57541.580672022,ask,20,92.08,0.8,0.8,1.4,1.4,1.4,1.0,1.0,0.6,-0.8,-0.6,-1.4,-0.8,8.6,91.6
UBSS,KTOS,2026-02-27,34200.392502518,bid,1,85.2,0.09,0.09,0.09,0.24,0.15,0.09,0.165,-0.09,0.69,0.86,0.71,0.25,-0.06,-0.3
UBSS,KTOS,2026-02-27,34200.392502518,bid,5,85.10000000000001,0.95,0.95,0.95,1.7,1.25,0.95,1.325,0.05,3.95,4.8,4.05,1.75,0.2,-1.0
